fn_name,seed,dpus,tasklets,wramRow,wramCol,dpuCols,mramRow,mramCol,cinm2_unc_ms,cinm1_best_ms,cinm1_n_configs,speedup_vs_cinm1_best,prim
gemv_64MB,470,512.0,4.0,1.0,128.0,16.0,128.0,256.0,296.5940698333333,17.07022483333333,17,0.0575541676977078,prim_gemv
gemv_64MB,501,1024.0,4.0,2.0,4.0,8.0,32.0,512.0,288.7372175,17.07022483333333,17,0.0591202789205147,prim_gemv
gemv_64MB,532,1024.0,16.0,1.0,128.0,16.0,64.0,256.0,288.09172266666667,17.07022483333333,17,0.0592527431032242,prim_gemv
gemv_64MB,563,512.0,8.0,1.0,512.0,4.0,32.0,1024.0,295.4477351666667,17.07022483333333,17,0.0577774773724488,prim_gemv
gemv_64MB,594,128.0,16.0,8.0,64.0,64.0,2048.0,64.0,325.5449106666667,17.07022483333333,17,0.0524358522404054,prim_gemv
gemv_64MB,625,256.0,16.0,1.0,2.0,1.0,16.0,4096.0,163.29476783333334,17.07022483333333,17,0.1045362632240369,prim_gemv
gemv_64MB,656,512.0,8.0,1.0,4.0,1.0,8.0,4096.0,127.13189166666668,17.07022483333333,17,0.1342717756303869,prim_gemv
gemv_64MB,67,512.0,8.0,4.0,256.0,4.0,32.0,1024.0,296.2225673333333,17.07022483333333,17,0.0576263482792806,prim_gemv
gemv_64MB,687,2048.0,2.0,8.0,512.0,8.0,16.0,512.0,291.140077,17.07022483333333,17,0.0586323429231398,prim_gemv
gemv_64MB,718,256.0,16.0,2.0,1.0,2.0,32.0,2048.0,334.5534,17.07022483333333,17,0.0510239167598754,prim_gemv
gemv_64MB,749,1024.0,8.0,1.0,8.0,2.0,8.0,2048.0,288.3475386666667,17.07022483333333,17,0.0592001752893986,prim_gemv
gemv_64MB,780,512.0,4.0,64.0,2.0,32.0,256.0,128.0,295.96003616666667,17.07022483333333,17,0.057677465695809,prim_gemv
gemv_64MB,811,512.0,8.0,16.0,64.0,64.0,512.0,64.0,308.25018166666666,17.07022483333333,17,0.0553778257032549,prim_gemv
gemv_64MB,842,256.0,8.0,32.0,4.0,16.0,256.0,256.0,295.4518473333333,17.07022483333333,17,0.0577766732122491,prim_gemv
gemv_64MB,873,1024.0,4.0,16.0,128.0,32.0,128.0,128.0,291.6101961666667,17.07022483333333,17,0.0585378188339375,prim_gemv
gemv_64MB,904,1024.0,8.0,64.0,4.0,128.0,512.0,32.0,311.2244045,17.07022483333333,17,0.0548486062998743,prim_gemv
gemv_64MB,935,1024.0,4.0,1.0,2048.0,1.0,4.0,4096.0,119.53885283333332,17.07022483333333,17,0.1428006412035209,prim_gemv
gemv_64MB,966,256.0,8.0,1.0,4.0,8.0,128.0,512.0,312.4417736666667,17.07022483333333,17,0.0546348992742083,prim_gemv
gemv_64MB,98,1024.0,4.0,32.0,64.0,32.0,128.0,128.0,294.399551,17.07022483333333,17,0.0579831890889444,prim_gemv
gemv_64MB,997,512.0,4.0,128.0,4.0,64.0,512.0,64.0,305.7601718333333,17.07022483333333,17,0.0558288044220426,prim_gemv
