tasklets,trial,barrier_ns,control_ns,overhead_ns_per_barrier
5,69,268868.0,72019.0,1968.49
5,70,270171.0,72171.0,1980.00
5,71,268488.0,74499.0,1939.89
5,72,268518.0,71870.0,1966.48
5,73,271781.0,73589.0,1981.92
5,74,279696.0,70323.0,2093.73
5,75,271219.0,71883.0,1993.36
5,76,270692.0,72419.0,1982.73
5,77,281143.0,73511.0,2076.32
5,78,273037.0,74516.0,1985.21
5,79,272561.0,71151.0,2014.10
5,80,273947.0,71546.0,2024.01
5,81,272777.0,71591.0,2011.86
5,82,275279.0,71215.0,2040.64
5,83,272128.0,72141.0,1999.87
5,84,270972.0,71714.0,1992.58
5,85,273262.0,71626.0,2016.36
5,86,273055.0,72652.0,2004.03
5,87,270955.0,71730.0,1992.25
5,88,271221.0,72226.0,1989.95
5,89,269795.0,72536.0,1972.59
5,90,272860.0,72758.0,2001.02
5,91,272440.0,72824.0,1996.16
5,92,278088.0,73225.0,2048.63
5,93,272727.0,72331.0,2003.96
5,94,273730.0,72372.0,2013.58
5,95,272915.0,72507.0,2004.08
5,96,271971.0,73272.0,1986.99
5,97,275795.0,72490.0,2033.05
5,98,273241.0,71676.0,2015.65
5,99,272052.0,70983.0,2010.69
6,0,330513.0,74793.0,2557.20
6,1,328272.0,74924.0,2533.48
6,2,329581.0,73353.0,2562.28
6,3,324954.0,77849.0,2471.05
6,4,324938.0,72417.0,2525.21
6,5,324188.0,77096.0,2470.92
6,6,326629.0,79203.0,2474.26
6,7,323833.0,78129.0,2457.04
6,8,327074.0,77281.0,2497.93
6,9,329945.0,78230.0,2517.15
6,10,326192.0,71428.0,2547.64
6,11,322418.0,73799.0,2486.19
6,12,335752.0,77650.0,2581.02
6,13,324790.0,78906.0,2458.84
6,14,326583.0,77380.0,2492.03
6,15,324282.0,72605.0,2516.77
6,16,328009.0,70742.0,2572.67
6,17,327321.0,77733.0,2495.88
6,18,326312.0,73200.0,2531.12
6,19,323665.0,72577.0,2510.88
6,20,325800.0,73867.0,2519.33
6,21,324288.0,88640.0,2356.48
6,22,322845.0,72639.0,2502.06
6,23,325097.0,73830.0,2512.67
6,24,328225.0,73646.0,2545.79
6,25,327534.0,71503.0,2560.31
6,26,327540.0,74424.0,2531.16
6,27,329853.0,72932.0,2569.21
6,28,325847.0,73225.0,2526.22
6,29,325689.0,71274.0,2544.15
6,30,328465.0,71709.0,2567.56
6,31,326787.0,72202.0,2545.85
6,32,328590.0,78190.0,2504.00
6,33,327003.0,73400.0,2536.03
6,34,325970.0,72226.0,2537.44
6,35,328051.0,73758.0,2542.93
6,36,325647.0,70518.0,2551.29
6,37,334589.0,78030.0,2565.59
6,38,335553.0,71998.0,2635.55
6,39,328538.0,72580.0,2559.58
6,40,329941.0,73519.0,2564.22
6,41,328470.0,72118.0,2563.52
6,42,324294.0,72387.0,2519.07
6,43,323898.0,71674.0,2522.24
6,44,325582.0,72615.0,2529.67
6,45,325683.0,70012.0,2556.71
6,46,326506.0,72345.0,2541.61
6,47,325871.0,73683.0,2521.88
6,48,329064.0,73571.0,2554.93
6,49,326703.0,72428.0,2542.75
6,50,331790.0,73685.0,2581.05
6,51,326469.0,69430.0,2570.39
6,52,327104.0,69238.0,2578.66
6,53,323455.0,72642.0,2508.13
6,54,327894.0,72589.0,2553.05
6,55,328198.0,72043.0,2561.55
6,56,324926.0,73293.0,2516.33
6,57,327461.0,78892.0,2485.69
6,58,324419.0,72294.0,2521.25
6,59,327455.0,78040.0,2494.15
6,60,326945.0,72867.0,2540.78
6,61,326393.0,71634.0,2547.59
6,62,328282.0,72095.0,2561.87
6,63,323260.0,73921.0,2493.39
6,64,328439.0,78141.0,2502.98
6,65,323382.0,72627.0,2507.55
6,66,327500.0,71041.0,2564.59
6,67,324540.0,69721.0,2548.19
6,68,322967.0,72497.0,2504.70
6,69,323311.0,71980.0,2513.31
6,70,326873.0,73326.0,2535.47
6,71,322867.0,73844.0,2490.23
6,72,323734.0,77180.0,2465.54
6,73,328190.0,73264.0,2549.26
6,74,327079.0,72665.0,2544.14
6,75,329261.0,71269.0,2579.92
6,76,322881.0,73253.0,2496.28
6,77,325762.0,73136.0,2526.26
6,78,327302.0,77150.0,2501.52
6,79,327138.0,71720.0,2554.18
6,80,326977.0,72452.0,2545.25
6,81,327517.0,72122.0,2553.95
6,82,327792.0,73621.0,2541.71
6,83,326745.0,73294.0,2534.51
6,84,322700.0,73794.0,2489.06
6,85,324342.0,71869.0,2524.73
6,86,329915.0,73624.0,2562.91
6,87,327406.0,73805.0,2536.01
6,88,325262.0,72989.0,2522.73
6,89,325883.0,70413.0,2554.70
6,90,325196.0,73749.0,2514.47
6,91,323785.0,71348.0,2524.37
6,92,323714.0,72451.0,2512.63
6,93,326931.0,70332.0,2565.99
6,94,325078.0,73022.0,2520.56
6,95,324272.0,70332.0,2539.40
6,96,324275.0,71914.0,2523.61
6,97,324092.0,72071.0,2520.21
6,98,327042.0,72183.0,2548.59
6,99,326341.0,77079.0,2492.62
7,0,369310.0,72677.0,2966.33
7,1,369344.0,73117.0,2962.27
7,2,373202.0,68880.0,3043.22
7,3,370800.0,69119.0,3016.81
7,4,372687.0,68756.0,3039.31
7,5,370715.0,72007.0,2987.08
7,6,371537.0,67157.0,3043.80
7,7,380883.0,72149.0,3087.34
7,8,376481.0,67764.0,3087.17
7,9,372206.0,68195.0,3040.11
7,10,372204.0,72460.0,2997.44
7,11,369134.0,68742.0,3003.92
7,12,370199.0,68440.0,3017.59
7,13,370640.0,68620.0,3020.20
7,14,372700.0,73078.0,2996.22
7,15,377208.0,71409.0,3057.99
7,16,370914.0,79169.0,2917.45
7,17,375016.0,69994.0,3050.22
7,18,369411.0,71277.0,2981.34
7,19,380980.0,70068.0,3109.12
7,20,376462.0,71233.0,3052.29
7,21,371735.0,71214.0,3005.21
7,22,371926.0,70618.0,3013.08
7,23,371453.0,70256.0,3011.97
7,24,370795.0,70824.0,2999.71
7,25,367871.0,70641.0,2972.30
7,26,371187.0,70661.0,3005.26
7,27,377843.0,71816.0,3060.27
7,28,370867.0,70720.0,3001.47
7,29,371621.0,71871.0,2997.50
7,30,374856.0,70091.0,3047.65
7,31,371120.0,70255.0,3008.65
7,32,373601.0,70399.0,3032.02
7,33,368717.0,70040.0,2986.77
7,34,371799.0,70756.0,3010.43
7,35,376626.0,70367.0,3062.59
7,36,370391.0,70320.0,3000.71
7,37,374880.0,69793.0,3050.87
7,38,375521.0,69846.0,3056.75
7,39,375233.0,70485.0,3047.48
7,40,375663.0,69983.0,3056.80
7,41,373818.0,71306.0,3025.12
7,42,373611.0,69969.0,3036.42
7,43,371717.0,70123.0,3015.94
7,44,372465.0,85615.0,2868.50
7,45,376593.0,69599.0,3069.94
7,46,375947.0,69271.0,3066.76
7,47,374517.0,70973.0,3035.44
7,48,371557.0,70542.0,3010.15
7,49,375380.0,70829.0,3045.51
7,50,375259.0,70129.0,3051.30
7,51,376682.0,70793.0,3058.89
7,52,374380.0,69142.0,3052.38
7,53,375498.0,70429.0,3050.69
7,54,372631.0,71620.0,3010.11
7,55,373168.0,71485.0,3016.83
7,56,375031.0,70250.0,3047.81
7,57,375452.0,71915.0,3035.37
7,58,375600.0,70843.0,3047.57
7,59,373869.0,70302.0,3035.67
7,60,370275.0,71579.0,2986.96
7,61,376248.0,70594.0,3056.54
7,62,379541.0,70416.0,3091.25
7,63,380253.0,70788.0,3094.65
7,64,376335.0,70086.0,3062.49
7,65,372929.0,70691.0,3022.38
7,66,373220.0,70051.0,3031.69
7,67,372178.0,70509.0,3016.69
7,68,373244.0,69702.0,3035.42
7,69,374186.0,69724.0,3044.62
7,70,371431.0,69825.0,3016.06
7,71,371690.0,70732.0,3009.58
7,72,374829.0,70994.0,3038.35
7,73,376993.0,70835.0,3061.58
7,74,380040.0,71433.0,3086.07
7,75,380151.0,71143.0,3090.08
7,76,371338.0,70631.0,3007.07
7,77,374366.0,69160.0,3052.06
7,78,369836.0,69956.0,2998.80
7,79,373433.0,70468.0,3029.65
7,80,374004.0,70183.0,3038.21
7,81,372987.0,71792.0,3011.95
7,82,371163.0,70208.0,3009.55
7,83,377175.0,70291.0,3068.84
7,84,378514.0,70816.0,3076.98
7,85,391205.0,69323.0,3218.82
7,86,374345.0,70339.0,3040.06
7,87,370891.0,71644.0,2992.47
7,88,375179.0,71606.0,3035.73
7,89,372909.0,70500.0,3024.09
7,90,374050.0,69967.0,3040.83
7,91,373526.0,70600.0,3029.26
7,92,372375.0,70838.0,3015.37
7,93,373262.0,69629.0,3036.33
7,94,374611.0,70732.0,3038.79
7,95,375508.0,70115.0,3053.93
7,96,376764.0,71802.0,3049.62
7,97,374297.0,73883.0,3004.14
7,98,375849.0,69634.0,3062.15
7,99,375225.0,69951.0,3052.74
8,0,419574.0,69724.0,3498.50
8,1,420955.0,69842.0,3511.13
8,2,429017.0,69913.0,3591.04
8,3,422322.0,69776.0,3525.46
8,4,422219.0,68220.0,3539.99
8,5,425613.0,69509.0,3561.04
8,6,418684.0,69641.0,3490.43
8,7,424402.0,67432.0,3569.70
8,8,423010.0,69446.0,3535.64
8,9,422889.0,68826.0,3540.63
8,10,424296.0,68420.0,3558.76
8,11,427936.0,69418.0,3585.18
8,12,429031.0,68371.0,3606.60
8,13,437719.0,66005.0,3717.14
8,14,422394.0,68825.0,3535.69
8,15,431832.0,67806.0,3640.26
8,16,421135.0,66386.0,3547.49
8,17,424455.0,69741.0,3547.14
8,18,422119.0,69645.0,3524.74
8,19,418695.0,68240.0,3504.55
8,20,421313.0,68123.0,3531.90
8,21,419141.0,68596.0,3505.45
8,22,422936.0,68593.0,3543.43
8,23,421035.0,69046.0,3519.89
8,24,421929.0,69761.0,3521.68
8,25,422061.0,69631.0,3524.30
8,26,431106.0,69161.0,3619.45
8,27,420501.0,67599.0,3529.02
8,28,422158.0,69213.0,3529.45
8,29,422275.0,68964.0,3533.11
8,30,420771.0,68834.0,3519.37
8,31,418530.0,69147.0,3493.83
8,32,419654.0,69223.0,3504.31
8,33,423266.0,68965.0,3543.01
8,34,418296.0,69022.0,3492.74
8,35,419659.0,67625.0,3520.34
8,36,424440.0,69028.0,3554.12
8,37,419498.0,69092.0,3504.06
8,38,423578.0,69132.0,3544.46
8,39,419158.0,68813.0,3503.45
