tile_,tile_1,ranks,dpus,tasklets,visited,cost,mu,sigma,acq
4,96,1,1,12,1,,,,
4,96,1,1,16,1,,,,
4,96,1,1,24,1,,,,
4,128,1,1,1,0,,3.39327,3.61557,-0.170616
4,128,1,1,2,0,,5.13163,1.85419,1.21207
4,128,1,1,3,1,,,,
4,128,1,1,4,0,,4.86538,2.01873,1.04753
4,128,1,1,6,1,,,,
4,128,1,1,8,1,,,,
4,128,1,1,12,1,,,,
4,128,1,1,16,1,,,,
4,128,1,1,24,1,,,,
4,192,1,1,1,0,,3.0032,3.59086,-0.292373
4,192,1,1,2,0,,4.7774,1.87961,1.08002
4,192,1,1,3,1,,,,
4,192,1,1,4,0,,4.70472,1.85864,1.06468
4,192,1,1,6,1,,,,
4,192,1,1,8,1,,,,
4,192,1,1,12,1,,,,
4,192,1,1,16,1,,,,
4,192,1,1,24,1,,,,
4,256,1,1,1,0,,2.83523,3.593,-0.350539
4,256,1,1,2,0,,4.48727,1.97742,0.937303
4,256,1,1,3,1,,,,
4,256,1,1,4,0,,4.56086,1.75862,1.06058
4,256,1,1,6,1,,,,
4,256,1,1,8,1,,,,
4,256,1,1,12,1,,,,
4,256,1,1,16,1,,,,
4,256,1,1,24,1,,,,
4,384,1,1,1,0,,2.71162,3.61128,-0.400847
4,384,1,1,2,0,,4.23308,2.12311,0.785332
4,384,1,1,3,1,,,,
4,384,1,1,4,0,,4.4019,1.6329,1.06287
4,384,1,1,6,1,,,,
4,384,1,1,8,1,,,,
4,384,1,1,12,1,,,,
4,384,1,1,16,1,,,,
4,384,1,1,24,1,,,,
4,768,1,1,1,0,,2.64247,3.82188,-0.518929
4,768,1,1,2,0,,3.80366,2.38055,0.523524
4,768,1,1,3,1,,,,
4,768,1,1,4,1,196474,4.23077,1.47126,1.07714
4,768,1,1,6,1,,,,
4,768,1,1,8,1,,,,
4,768,1,1,12,1,,,,
4,768,1,1,16,1,,,,
4,768,1,1,24,1,,,,
6,1,1,1,1,0,,5.6137,2.66178,1.01375
6,1,1,1,2,0,,5.20001,2.31198,1.02987
6,1,1,1,3,0,,5.43863,2.42379,1.06095
6,1,1,1,4,1,,,,
6,1,1,1,6,0,,6.39303,2.75919,1.23545
6,1,1,1,8,1,,,,
6,1,1,1,12,1,,,,
6,1,1,1,16,1,,,,
6,1,1,1,24,1,,,,
6,2,1,1,1,0,,5.33608,1.5869,1.40168
6,2,1,1,2,0,,5.24933,1.96181,1.20385
6,2,1,1,3,0,,6.3026,3.18723,1.01252
6,2,1,1,4,1,,,,
6,2,1,1,6,1,1.3897e+06,6.39674,3.47549,0.915187
6,2,1,1,8,1,,,,
6,2,1,1,12,1,,,,
6,2,1,1,16,1,,,,
6,2,1,1,24,1,,,,
6,3,1,1,1,0,,5.47125,1.66553,1.41242
6,3,1,1,2,0,,5.06575,1.66235,1.27575
6,3,1,1,3,0,,6.03532,2.46394,1.24615
6,3,1,1,4,1,,,,
6,3,1,1,6,0,,5.49296,3.4753,0.607464
6,3,1,1,8,1,,,,
6,3,1,1,12,1,,,,
6,3,1,1,16,1,,,,
6,3,1,1,24,1,,,,
6,4,1,1,1,0,,5.13178,2.4292,0.954016
6,4,1,1,2,0,,4.97613,1.61555,1.26623
6,4,1,1,3,0,,5.19984,2.43307,0.975461
6,4,1,1,4,1,,,,
6,4,1,1,6,0,,4.60044,3.28176,0.390362
6,4,1,1,8,1,,,,
6,4,1,1,12,1,,,,
6,4,1,1,16,1,,,,
6,4,1,1,24,1,,,,
6,6,1,1,1,0,,4.79305,3.39619,0.404596
6,6,1,1,2,0,,4.53729,2.46494,0.735501
6,6,1,1,3,0,,4.22358,2.52187,0.603106
6,6,1,1,4,1,,,,
6,6,1,1,6,0,,3.52215,2.80672,0.236351
6,6,1,1,8,1,,,,
6,6,1,1,12,1,,,,
6,6,1,1,16,1,,,,
6,6,1,1,24,1,,,,
6,8,1,1,1,0,,4.86577,3.8518,0.224853
6,8,1,1,2,0,,4.36384,2.63722,0.599096
6,8,1,1,3,0,,3.84109,2.67173,0.405565
6,8,1,1,4,1,,,,
6,8,1,1,6,0,,2.95418,2.49366,0.183433
6,8,1,1,8,1,,,,
6,8,1,1,12,1,,,,
6,8,1,1,16,1,,,,
6,8,1,1,24,1,,,,
6,12,1,1,1,0,,4.79517,4.12918,0.0763001
6,12,1,1,2,0,,4.0902,2.43127,0.598347
6,12,1,1,3,0,,3.92185,1.97755,0.744673
6,12,1,1,4,1,,,,
6,12,1,1,6,0,,2.66591,2.19994,0.217097
6,12,1,1,8,1,,,,
6,12,1,1,12,1,,,,
6,12,1,1,16,1,,,,
6,12,1,1,24,1,,,,
6,16,1,1,1,0,,4.8788,4.28736,0.0337815
6,16,1,1,2,0,,4.36647,2.33883,0.733934
6,16,1,1,3,0,,4.30138,1.60161,1.04268
6,16,1,1,4,1,,,,
6,16,1,1,6,0,,3.15729,1.66329,0.625341
6,16,1,1,8,1,,,,
6,16,1,1,12,1,,,,
6,16,1,1,16,1,,,,
6,16,1,1,24,1,,,,
6,24,1,1,1,0,,5.03732,4.59795,-0.051647
6,24,1,1,2,0,,4.78511,2.42427,0.838163
6,24,1,1,3,0,,4.95345,1.81199,1.17033
6,24,1,1,4,1,,,,
